P1,T1,N2,MF
0.321745112645137,0.184856394975049,0.974272472564446,0.897348484038796
0.318963798553361,0.184301001046015,0.97259276355943,0.888511393471695
0.320863372479252,0.178935571293455,0.974220109882608,0.893299860076383
0.31974211613359,0.17895300240028,0.973832821725234,0.892845025496617
0.320728013761256,0.18205537926215,0.974185446977588,0.896724834661286
0.319721657705926,0.17922281905223,0.973734997061627,0.892738183009052
0.318934632475404,0.177596524975161,0.973143787137437,0.886025127063434
0.318460540693752,0.176995658015683,0.974573688997069,0.895422746955109
0.319074767210918,0.182704978280094,0.973335405218552,0.888433041296735
0.318539043702321,0.180297313078952,0.973709237614154,0.894094123539375
0.318721986783654,0.179461295669507,0.973875781530725,0.894089423016778
0.317579046427413,0.178325528928455,0.972669860218615,0.888508035994584
0.31929419861711,0.18060741629181,0.973624035764174,0.89487166261698
0.310838124955695,0.169807249629087,0.972421767402149,0.888625159034667
0.318813713709308,0.17979903689268,0.973596321046792,0.895246619365552
0.31850118765119,0.179580879921919,0.973060973459042,0.895194406167704
0.315217467467263,0.170799607333565,0.97314455316457,0.891855335974909
0.321404589166503,0.180677854243483,0.973527904560315,0.897319628008494
0.321687880573778,0.181628735181263,0.973479901086608,0.897854724883389
0.323354076055563,0.18352909243974,0.973378017519822,0.898999729279448
0.321855790746772,0.183777400201529,0.973308172009635,0.898857408686421
0.324083275562474,0.187601384708778,0.973634497865889,0.90032025794101
0.325200733749053,0.189167550901964,0.973437869880107,0.896163981322223
0.321879502593299,0.178188316453382,0.972649916541176,0.895616843320603
0.32509224874096,0.18121137724925,0.973494925120292,0.897640520155757
0.321867241933387,0.177286013574448,0.973288191814703,0.896496196834617
0.321965513293904,0.174956416361898,0.972391353122231,0.895474212795875
0.323381069576234,0.173233420389785,0.972304528358608,0.895450357861201
0.321981796051766,0.179335743059171,0.972173835177169,0.892046493106555
0.323585967938786,0.174092725691866,0.972341481050419,0.894529341858323
0.32944943297975,0.172352876316495,0.972462168076915,0.892891605244074
0.322936146665248,0.18229069634725,0.971333458317121,0.893000911971329
0.328097507926462,0.180485914364794,0.971493482221369,0.889119389415933
0.32625782789722,0.166458005213197,0.973069466978571,0.897721312491087
0.32602904690011,0.165618532434365,0.973633974051418,0.898487882305052
0.325824180833223,0.158781826361219,0.97316047259876,0.898520983957194
0.324580486744927,0.166936643309283,0.973796801220212,0.897863513020454
0.326539489561645,0.155585047486546,0.972795842647774,0.894999181844466
0.324489340851377,0.166258330326624,0.97466426693988,0.898284764186516
0.323505233304011,0.168958310166937,0.974074170945014,0.89641735177276
0.326725504283563,0.165767203393016,0.976782738336588,0.896765401188587
0.318576208179162,0.176752092779149,0.975037385374417,0.895191722586061
0.31780283843688,0.179146849952759,0.974674864081454,0.894151270751742
0.315484266944501,0.182716024917716,0.974360645287658,0.893396152610526
0.317389413472869,0.181251918259137,0.974314371361157,0.893129449377737
0.314826342631863,0.196138044681865,0.973922026389089,0.891637792713619
0.310003844953125,0.234747713731781,0.970155434085963,0.888538584574546
0.3088466497293,0.195476380920402,0.972100328736371,0.890525111607794
0.306187493161161,0.1966737942443,0.973985379626186,0.893628453874449
0.307372519230292,0.19149515149429,0.97651487101895,0.894958661782265
0.306930028444776,0.20192256783195,0.97251046812706,0.887729878529926
0.307417509582088,0.204376700510628,0.973019253592714,0.888423559066746
0.306311979274318,0.194104537585576,0.971066420756839,0.887857732427789
0.307759089121236,0.203855900760715,0.973320850745527,0.888919554617171
0.307216736471838,0.200480176988396,0.972909847118057,0.883746262602155
0.311167316849214,0.195634872874829,0.975609591205977,0.90845480296045
0.309085563904462,0.198787099019842,0.975057281647924,0.889518283077551
0.307787823959187,0.203354805123678,0.974685466167575,0.890261709734757
0.307684301589855,0.20412655643335,0.974703026656518,0.889850203348929
0.307778855736626,0.225703409773347,0.975687690790905,0.885750582748868
0.307532976192991,0.201405663417063,0.974972759741836,0.890126213224329
0.304364096349952,0.199895222874363,0.972820791032587,0.883569543386508
0.307733793774171,0.202764641161666,0.975396571467579,0.890742856974253
0.308642453182617,0.20663159193639,0.975447153130725,0.891931872512163
0.31418192630282,0.20668648253966,0.977531768896395,0.901281254288894
0.308525580979199,0.203181495891985,0.975373008250445,0.892018446252674
0.308989259312292,0.205259617385424,0.975639963096544,0.892700092398111
0.308825397202186,0.201811534400332,0.9755603440635,0.892900090926473
0.309779548938002,0.20482660737591,0.976563812905238,0.894804637067075
0.310386983383637,0.208475674906627,0.976174046467259,0.894790831487765
0.311167407737524,0.256619742751567,0.971727449882634,0.888382731481725
0.308514425650251,0.233452038454129,0.972907429869396,0.89117770181101
0.306138953189017,0.218316221940039,0.972946985797729,0.889143383187975
0.304912517496512,0.208794461608332,0.973299241759623,0.89055428773986
0.308416508722073,0.199648179872499,0.973531367140041,0.89424654963651
0.308545130251556,0.199545931690959,0.973543904518428,0.894353710821705
0.306868774712674,0.198133769915208,0.973208823069602,0.889662897332549
0.307886522283204,0.199687646469039,0.973611142344628,0.89363093562484
0.305420343965448,0.199889108902825,0.972830194682707,0.890148810176549
0.307169174070238,0.203598181575588,0.973418524938193,0.888247715848685
0.305298445494129,0.196782436956948,0.973155791895053,0.889499209113219
0.307911569373969,0.199827522233331,0.973674874591341,0.892079100891496
0.308022461982285,0.200991641316377,0.973977745143052,0.892758599460748
0.309621180731264,0.205630467335211,0.973969601836792,0.895777822308168
0.307732539888153,0.201334493765538,0.973861110665634,0.892210160793406
0.309522806945743,0.205274029172584,0.974586462141468,0.89639446506724
0.307994010571152,0.20277738346143,0.974397278368841,0.893380162934006
0.307879766439874,0.202638908218809,0.974422325114168,0.894154066723498
0.309022362305149,0.201677356967948,0.975717069378922,0.891776609426491
0.307350689090193,0.204517384607658,0.97497890377449,0.894735746862368
0.307085995383372,0.20422044010495,0.975086481691597,0.894812920147915
0.306460018265652,0.203892919256239,0.974650049006952,0.893333535937018
0.306746339256758,0.203468256062226,0.975033452170532,0.893730979766805
0.307628560777489,0.204694476479167,0.975333638360778,0.894590593124737
0.309885605823726,0.197553524981409,0.974048744992613,0.89133709156648
0.306229626296059,0.194780077807063,0.973180238882181,0.888867214244398
0.306572456443125,0.196550527061432,0.972878680026705,0.88705513063044
0.309456657600159,0.198453983664113,0.97358859439917,0.891903923911405
0.307641794874618,0.203655295123894,0.97371829085489,0.890059558290294
0.307290440401816,0.203545381098128,0.973342665271615,0.88939312587553
0.304789376642268,0.191641557511917,0.974167864990746,0.889579183353181
0.307384627101897,0.201053532040845,0.973514015992991,0.890058309786325
0.307827881729179,0.192558505703109,0.973935502836471,0.893564983856204
0.310187127469693,0.196765388833061,0.973628529624786,0.892703550195093
0.31072163231224,0.194883644885332,0.974912247931657,0.897579309413488
0.307403205926345,0.208104546027265,0.973809694605346,0.892492492077282
0.306977128920643,0.206886684375114,0.97378327055735,0.891632878881199
0.30724578825109,0.197941257055699,0.973903606440875,0.891703928580557
0.307653213792862,0.205586244324739,0.973831753723408,0.892927582215265
0.304314069906863,0.202284374002078,0.973147579001564,0.888682332597553
0.306744854341677,0.20229715823092,0.973398187642198,0.890605138980085
0.306362867439539,0.199127236185125,0.972773401350325,0.88865522326015
0.304490873145897,0.194125076387081,0.972910699404984,0.889068684700541
0.307167850614044,0.193303503403501,0.973266820214573,0.889330079952362
0.307486104092471,0.19281226346006,0.973425760445091,0.889706462063764
0.308935640712228,0.193680273638289,0.973838862300977,0.892803376840667
0.308672374648963,0.194153242206235,0.973820407382603,0.892347975869868
0.309767941100176,0.191399588221877,0.974115154117578,0.893867010721921
0.309552543392293,0.197734608738626,0.974667849081651,0.897072310193772
0.308174371097456,0.200550583431843,0.97392942064595,0.892850984593576
0.310952880585293,0.204208684670837,0.975117352772421,0.899239870632251
