Hour,Bar
0.0,31.085082705328883
1.0,31.55803320517384
2.0,31.240666288602124
3.0,31.728468293336075
4.0,31.957366897704794
5.0,4.648779663889613
6.0,3.1848905454195466
7.0,9.123148337363908
8.0,25.770668588210714
9.0,29.693905950708096
10.0,34.21768076554637
11.0,29.658199783480534
12.0,33.6801511115253
13.0,32.317134445232305
14.0,32.989305135376604
15.0,32.093897605993206
16.0,33.586788865653254
17.0,34.23762616306291
18.0,33.41511651720321
19.0,31.398023048201406
20.0,32.1874742785132
21.0,31.577726386428306
22.0,32.913218262031
23.0,33.057657648439566
